store_key,storename,address,telno,region_name,province_name,city_muni_name,latitude,longitude
 59,Revilla,EDSA Cor. C. Revilla St. Pasay City,8327252,NCR - National Capital Region,"NCR, FOURTH DISTRICT",PASAY CITY,14.5373,121.001
 60,Cainta Junction,A. Bonifacio St. Cor. Ortigas Extn. Cainta Rizal,6567253,REGION IV-A (CALABARZON),RIZAL,CAINTA,14.5862,121.115
 63,Guadalupe,EDSA Nr Cor R. Magsaysay Guadalupe Mkt. City,7286954,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5652,121.045
 64,Masinag,"Marcos H-Way Cor. Sumulong H-Way, Antipolo",6451151,REGION IV-A (CALABARZON),RIZAL,CITY OF ANTIPOLO,14.6257,121.125
 65,Road 8,"Road 8 Cor. Visayas Ave., Proj. 6 Q.C.",4540004,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6628,121.044
 66,MH Del Pilar,"A. Flores St. Cor. M.H. Del Pilar, Ermita Mla",4848117,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",ERMITA,14.5788,120.979
 67,St. James,TSora Ave. Cor. Mindanao Ave Q.C.,4540050,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6771,121.032
 68,Murphy,15TH Ave. Cor Liberty Ave. Murphy Cubao Q.C.,9138281,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF PASIG,14.615,121.062
 69,PCU,Pedro Gil Cor. Leon Guinto St. Malate Mla.,5361661,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",MALATE,14.5764,120.989
 71,A Bonifacio,A. Bonifacio Cor Shaw Blvd. Mandaluyong City,5324307,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF MANDALUYONG,14.5896,121.035
 72,Calamba,National HiWay Cor. JP Rizal St. Calamba Laguna,5455694,REGION IV-A (CALABARZON),LAGUNA,CITY OF CALAMBA,14.2055,121.156
 74,Canaynay,Dr. A. Santos Avenue Cor Canaynay Ave. Pque.,8254254,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF PARAÑAQUE,14.475,121.001
 75,Antipolo Church,"Oliveros St. Cor Masangkay, Antipolo Rizal",6508997,REGION IV-A (CALABARZON),RIZAL,CITY OF ANTIPOLO,14.5878,121.175
 76,Pasig Rotonda,"Pasig Blvd. Cor Sixto Antonio, Pasig City",6410593,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF PASIG,14.5661,121.076
 78,Bruger,National Rd. Bruger St. Putatan Muntinlupa,8611724,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MUNTINLUPA,14.3946,121.045
 80,Marcelo,West Service Rd. Cor Marcelo Ave. Paranque,8210988,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF PARAÑAQUE,14.4758,121.045
 85,FB Harrison,FB Harrison Near Cor Vito Cruz Mla.,5360704,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",MALATE,14.56,120.99
 86,Tayuman,Tayuman Cor Rizal Ave. Sta. Cruz Mla.,7438453,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",SANTA CRUZ,14.6167,120.983
 87,Imus,"Aguinaldo H-Way Cor Tanzang Luma, Imus Cavite",5022550,REGION IV-A (CALABARZON),CAVITE,IMUS,14.4618,120.942
 88,Antipolo Junction,"Circumferential Rd Cor M.L. Quezon, Antipolo",6507089,REGION IV-A (CALABARZON),RIZAL,CITY OF ANTIPOLO,14.5809,121.176
 90,Bangkal,"Evangelista Cor. Alejandro St., Bangkal Mkt.",8890340,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5396,121.012
 93,Meycauyan 2,"Malhacan Rd. Cor MCArthur H-Way, Meycauyan",9352982,REGION III (Central Luzon),BULACAN,CITY OF MEYCAUAYAN,14.7372,120.961
 96,San Pedro 2,A. Mabini Cor Garcia St. San Pedro Laguna,8688296,REGION IV-A (CALABARZON),LAGUNA,SAN PEDRO,14.3673,121.053
 97,Cavite City,"Cajigas Cor Burgos St., Cavite City",5043865,REGION IV-A (CALABARZON),CAVITE,CAVITE CITY,14.4797,120.898
 98,Ylaya,Ylaya Cor Lakandula St. Binondo Manila,2453422,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",BINONDO,14.6072,120.967
 99,Dasmarinas 1,"P. Campos Cor. Cantibuhan, Dasmarinas Cavite",9730025,REGION IV-A (CALABARZON),CAVITE,DASMARIÑAS,14.3267,120.936
 100,Balibago,"Natl H-Way Cor R. Lazaga, Balibago Sta Rosa",5342905,REGION IV-A (CALABARZON),LAGUNA,CITY OF SANTA ROSA,14.2959,121.106
 101,Blum 2,"Blumentritt Cor Isagani St., Manila",7494290,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",BINONDO,14.625,120.987
 102,Hermosa,"J. Abad Santos Cor Hermosa St., Tondo Manila",2534061,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",TONDO I / II,14.632,120.98
 103,Kabihasnan,Quirino Avenue Cor Kabihasnan San Dionisio Pque,8269318,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF PARAÑAQUE,14.4921,120.988
 104,Galas,Unang Hakbang Cor Luzon Ave. Galas Q.C.,7153280,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6122,121.009
 105,Lower Bicutan,"Gen Santos Cor ML Quezon, Lower  Bicutan Taguig",8374305,NCR - National Capital Region,"NCR, FOURTH DISTRICT",TAGUIG CITY,14.4887,121.061
 106,Tamarw Hills,"MCArthur H-Way Cor Tamaraw Hills, Marulas Val.",2932630,NCR - National Capital Region,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,14.6787,120.98
 107,Cabuyao,J.P. Rizal Cor Circumferential Ave. Cabuyao Laguna,8320117,REGION IV-A (CALABARZON),LAGUNA,CABUYAO,14.2772,121.123
 108,Chico,"Anonas Cor Chico, Project 2, Q.C.",9289702,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6325,121.06
 111,Molino 1,Molino Rd Cor Bahayang Pag-Asa Molino Bacoor,4773083,REGION IV-A (CALABARZON),CAVITE,BACOOR,14.3981,120.978
 112,San Pablo,"Rizal Avenue Cor A. Flores, San Pablo City",5627858,REGION IV-A (CALABARZON),LAGUNA,SAN PABLO CITY,14.0694,121.326
 114,Dasmarinas 2,"Aguinaldo H-Way Cor Mangubat, Dasmarinas",468502667,REGION IV-A (CALABARZON),CAVITE,DASMARIÑAS,14.3266,120.94
 115,Molino 2,"Molino Rd., San Nicolas Bacoor",465723810,REGION IV-A (CALABARZON),CAVITE,BACOOR,14.4262,120.975
 116,Rosario-Salinas,"Gen Trias Drive, Salinas Rosario Cavite",464380651,REGION IV-A (CALABARZON),CAVITE,ROSARIO,14.4148,120.856
 119,Binan 2,Natl H-Way Cor Malvar Rd. Binan Laguna,494111759,REGION IV-A (CALABARZON),LAGUNA,BIÑAN,14.3331,121.082
 120,Balagtas,"MCArthur HWay, Wawa Balagtas, Bulacan",449181123,REGION III (Central Luzon),BULACAN,BALAGTAS (BIGAA),14.8177,120.907
 121,Pulang Lupa,Quirino Ave.  Cor Naga Rd. Pulang Lupa Las Pinas,8732765,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF LAS PIÑAS,14.4732,120.977
 122,BF Resort,"Zapote Alabang Cor BF Resort Drive, Las Pinas",8744545,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF LAS PIÑAS,14.4445,120.994
 125,J.P. Ramoy,"J.P. Ramoy Cor Quirino H-Way, Talipapa Novaliches",4539644,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6859,121.024
 126,Cainta Church,"A Bonifacio Avenue, Cainta Rizal",6550837,REGION IV-A (CALABARZON),RIZAL,CAINTA,14.577,121.117
 127,Tatlong Hari,"Rizal Avenue Cor T. Hari, Sta Rosa Laguna",498373711,REGION IV-A (CALABARZON),LAGUNA,CITY OF SANTA ROSA,14.3149,121.112
 128,LOS BAÑOS,"NATIONAL ROAD, BATONG MALAKE, LOS BAÑOS LAGUNA",495360153,REGION IV-A (CALABARZON),LAGUNA,LOS BAÑOS,14.1784,121.242
 130,Binakayan,"Tirona H-Way Cor Bisita St., Binakayan Cavite",464342610,REGION IV-A (CALABARZON),CAVITE,KAWIT,14.4497,120.923
 131,Lipa H-Way,National H-Way (Big Ben Comm. Complex) Lipa City,439811883,REGION IV-A (CALABARZON),BATANGAS,LIPA CITY,13.9424,121.153
 132,Trece Martirez,"Governors Drive Cor Indang Tanza, Trece Martirez",464192934,REGION IV-A (CALABARZON),CAVITE,TRECE MARTIRES CITY (Capital),14.2821,120.869
 134,Molave,Molave Rd Cor Bayan-Bayanan Concepcion Mkna,9862412,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF MARIKINA,14.651,121.112
 135,Panapaan,Tirona HWay Nr Cor Aguinaldo HWay Bacoor,469707010,REGION IV-A (CALABARZON),CAVITE,BACOOR,14.4456,120.952
 136,Apalit,"MC Arthur HWay Cor David St., Apalit Pamoanga",458790505,REGION III (Central Luzon),PAMPANGA,APALIT,14.9503,120.759
 137,San Pedro 3,Pacita Ave. Nr Cor Macaria Ave. San Pedro Laguna,8479192,REGION IV-A (CALABARZON),LAGUNA,SAN PEDRO,14.3435,121.058
 138,Lipa Proper,"C.M. Recto Avenue, Lipa City",439810437,REGION IV-A (CALABARZON),BATANGAS,LIPA CITY,13.9416,121.163
 141,Camarin,"Camarin Cor Susano  Rd., Caloocan",9629129,NCR - National Capital Region,"NCR, THIRD DISTRICT",CALOOCAN CITY,14.756,121.044
 142,Tanza,"Sta Cruz Cor Agustin, Tanza Cavite",465052667,REGION IV-A (CALABARZON),CAVITE,TANZA,14.4001,120.857
 144,Aglipay,"A.T. Reyes Cor. Boni Avenue, Aglipay Mandaluyong",5343557,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF MANDALUYONG,14.5863,121.026
 145,Naic,"Nazareno Cor. Poblete St., NAIC Cavite",464120727,REGION IV-A (CALABARZON),CAVITE,NAIC,14.3195,120.764
 147,Shorthon,"Road 20 Cor. Shorthom Proj 8, Q.C.",4531311,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6684,121.02
 148,J.P. Rizal,"Constancia St., Cor J.P. Rizal Avenue, Makati",8991225,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5709,121.02
 150,Zabarte,Quirino Cor Zabarte Rd. Novaliches,4170220,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.7316,121.048
 152,Dasma 3,"Congressional Rd., Dbb, Dasmarinas",455402023,REGION IV-A (CALABARZON),CAVITE,DASMARIÑAS,14.3221,120.964
 153,Pedro Gil Main,"Pedro Gil Cor. Main St., Paco Manila",5616821,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",PACO,14.5787,121
 154,Insular Burgos,P Burgos Cor. Gen Luna Makati City,8953440,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5646,121.031
 155,San Andres Onyx,"A. Francisco Cor Onyx, San Andres Manila",5616819,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",PACO,14.5737,121.004
 160,San Bartolome,"P. Dela Cruz Near Corner Quirino H-Way, SB",9391045,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.701,121.035
 162,San Fernando,San Fernando Pampanga,459637574,REGION III (Central Luzon),PAMPANGA,CITY OF SAN FERNANDO (Capital),15.029,120.693
 165,Superlines,EDSA Cor. Monte De Piedad St. Cubao Q.C.,4148267,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6246,121.048
 166,Columbia,Grnd. Flr. Columbia Tower Mandaluyong City,7247800,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF MANDALUYONG,14.5946,121.056
 167,Jupiter,Makati Ave. Cor. Gil Puyat Ave. Makati City,8977445,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5617,121.028
 168,T.M. Kalaw,Kimme Bldg. T.M. Kalaw Cor. Mabini St. Ermita M.M.,4906068,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",ERMITA,14.581,120.98
 172,West Avenue,West Ave. Corner Zamboange St. Q.C,2638476,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6383,121.026
 176,Farmers,"Space 1&2,2nd Level,New Farmers Plaza,Cubao,Q.C.",4391319,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6201,121.051
 180,Batangas City,"P. Burgos St.,cor. Panganiban St., Batangas City",437230926,REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (Capital),13.7559,121.059
 184,Doroteo Jose,"D. Jose St. cor. Rizal Ave., Sta. Cruz, Manila",7416551,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",SANTA CRUZ,14.6051,120.982
 185,Global Plaza,"Airport Rd. cor. Coastal Rd., Global Plaza Bldg.",8523733,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF PARAÑAQUE,14.5172,120.994
 187,Virra 1,"Virra 1 Bldg., P. Burgos St., Makati City",8982240,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5633,121.029
 192,Turbina,"National Highway Brgy, Turbina, Calamba Laguna",5456290,REGION IV-A (CALABARZON),LAGUNA,CITY OF CALAMBA,14.1853,121.137
 193,Bauan,"National Road., Bauan , Batangas",9801535,REGION IV-A (CALABARZON),BATANGAS,BAUAN,13.7907,121.01
 194,Angono,"M.L Quezon Ave., Angono, Rizal",4511081,REGION IV-A (CALABARZON),RIZAL,ANGONO,14.5236,121.153
 195,RFM,"RFM, Corporate Center, Mandaluyong City",7475308,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF PASIG,14.5711,121.052
 196,Urdaneta,"Brgy Polacion, Urdaneta City, Pangasinan",696048900,REGION I (Ilocos Region),PANGASINAN,CITY OF URDANETA,15.9724,120.571
 198,Matalino,"Matalino St. Cor. Malakas St., Diliman Quezon City",4346097,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6446,121.05
 199,Rizal Med,"Pasig Blvd. cor F. Banaag, Pineda Pasig City",6721669,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF PASIG,14.5636,121.065
 200,Carmen,"Mc Arthur Highway, Carmen Rosales, Pangasinan",755823488,REGION I (Ilocos Region),PANGASINAN,ROSALES,15.8834,120.599
 204,Precilla,"Pasong Tamo Ext-Kayamanan - C, Makati City",8300272,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5348,121.022
 206,Zapote,"Alabang Zapote Rd. cor. F. Santos, Las Piñas City",8738861,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF LAS PIÑAS,14.4637,120.969
 208,Angeles,"Sto. Rosario corner Sukdulan Street, Angeles City",425009600,REGION III (Central Luzon),PAMPANGA,ANGELES CITY,15.1333,121.001
 209,Dagupan,"Arellano Street, Dagupan City",696055400,REGION I (Ilocos Region),PANGASINAN,DAGUPAN CITY,16.0476,120.342
 210,Session 2,"GF B-105 Lopez Bldg., Session Rd., Baguio City",744465499,CAR - Cordillera Administrative Region,BENGUET,BAGUIO CITY,16.4131,120.597
 211,Orosa,"MY Orosa nr. cor., TM Kalaw, Ermita Manila",5275862,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",ERMITA,14.5816,120.981
 212,Lemery,"Ilustre Ave. cor. P. Burgos St., Lemery, Batangas",434090135,REGION IV-A (CALABARZON),BATANGAS,LEMERY,13.8805,120.916
 213,Parkview,"Valero St., cor. Salcedo Village, Makati City",7506780,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5585,121.022
 214,San Pablo 2,Leonor St. cor. Maharlika Hi-way San Pablo Laguna,495621412,REGION IV-A (CALABARZON),LAGUNA,SAN PABLO CITY,14.0643,121.323
 215,Crame,"Boni Serrano cor. 2nd Ave. Camp Crame, Q.C.",2345056,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6104,121.053
 216,Bac 2,"Quirino Ave. CR. Dimasalang, Baclaran, P'que",8319748,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF PARAÑAQUE,14.5302,120.997
 217,Nova 3,"Quirino H-way cor. Sarmiento St., Novaliches City",2173320,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.7194,121.04
 218,Taytay2,"Manila-East  Road, Taytay Rizal",9238554,REGION IV-A (CALABARZON),RIZAL,TAYTAY,14.5591,121.136
 219,P. Campa,"Espana cor. P. Campa Sampaloc St., Manila",7367206,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",SAMPALOC,14.6055,120.989
 221,Bac 3,"Roxas Blvd., Baclaran, Paranaque",8530092,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF PARAÑAQUE,14.5332,120.994
 222,Calam 2,"National H-way nr. cor. Halang st., Calamba Laguna",495357355,REGION IV-A (CALABARZON),LAGUNA,CITY OF CALAMBA,14.1967,121.163
 224,Luisita,"Mc Arthur H-way, San Miguel Tarlac City",459851140,REGION III (Central Luzon),TARLAC,CITY OF TARLAC (Capital),15.4838,120.599
 226,Legarda,"2108 Legarda st., Quiapo Manila",4880739,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",QUIAPO,14.5991,120.991
 228,Bocaue,McArthur Hi-way cor. Gov. F.Halili Ave. Bocaue,449201055,REGION III (Central Luzon),BULACAN,BOCAUE,14.9518,120.929
 229,Cityland10,"Cityland10 Tower Valero cor dela Costa St.,Makati",8935601,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5608,121.017
 231,Mkti City Hall,"1335 Angono cor. Hormige St. Poblacion, Makati",8976375,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5705,121.026
 232,CBC,"115 G/F CBC, Paseo cor. Pasay Rd., Makati",8402903,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5511,121.019
 234,La Huerta,"Quirino Ave. cor. Dandan St., La Huerta, Parañaque",8200296,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF PARAÑAQUE,14.4999,120.991
 236,UP Manila,"Pedro Gil St nr. cor. Taft Ave., Malate, Manila",5214987,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",MALATE,14.5759,120.988
 237,Orient,"Ruby Road, Ortigas Center, Pasig City",6876941,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF PASIG,14.5852,121.061
 239,Park N' Ride,"P. Burgos cor. Dr. Basa St., Ermita Manila",5217035,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",ERMITA,14.5933,120.98
 241,St. Luke's,"E. Rodriguez cor. Victoria St., New Manila, Q.C.",4145914,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6216,121.024
 243,Merville,Moreland Bldg.  cor West Service Rd,7760483,NCR - National Capital Region,"NCR, FOURTH DISTRICT",PASAY CITY,14.5085,121.033
 248,Pasig Mega,"Mega Parking , Caruncho cor Market Avenue",2636398,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF PASIG,14.5582,121.083
 249,Binangonan,"Quezon St., Libis, Binangonan, Rizal",2892370,REGION IV-A (CALABARZON),RIZAL,BINANGONAN,14.4646,121.192
 250,Aurora,"Aurora Blvd. cor St. Mary,Cubao, Quezon City",9116230,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6226,121.052
 251,Nobel,"G/F,110 Nobel Plaza,Valero St., Makati City",8886458,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5598,121.019
 252,Talon,"J. Aguilar Ave ,Talon,Las Pinas City",8735772,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF LAS PIÑAS,14.4456,120.994
 254,Salauag,"Molino-Paliparan Road,Salawag Dasmarinas,Cavite",5061014,REGION IV-A (CALABARZON),CAVITE,DASMARIÑAS,14.3463,120.981
 256,Marikina Bridge,"E. Rodriguez cor JP Rizal St., Marikina",6828446,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF MARIKINA,14.6357,121.095
 257,Shoe Avenue,"Shoe Avenue cor Capt Venciong, Sta. Elena",2175943,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF MARIKINA,14.6337,121.098
 258,Herrera,"Y-L Bldg.,Herrera St.,Legaspi Village,Makati City",8302347,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5555,121.016
 261,Calamba Crossing,"along Provincial Road , Calamba-Crossing, Laguna",495456749,REGION IV-A (CALABARZON),LAGUNA,CITY OF CALAMBA,14.2059,121.155
 262,PCU 2,"Taft Ave. cor Pedro Gil,Manila",5220133,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",PACO,14.576,120.988
 264,Trece 2,"Gov. Drive cor. Indang, Tanza Road",464191467,REGION IV-A (CALABARZON),CAVITE,TRECE MARTIRES CITY (Capital),14.2815,120.868
 268,Arayat 2,"Arayat cor.Pinatubo St.,Cubao Quezon City",9850943,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6196,121.051
 270,Binan 3,"A. Bonifacio  Poblacion, Binan Laguna",494113260,REGION IV-A (CALABARZON),LAGUNA,BIÑAN,14.339,121.083
 271,Shaw Starmall,Shaw Blvd. cor. EDSA Mandaluyong,7240376,NCR - National Capital Region,"NCR, SECOND DISTRICT",CITY OF MANDALUYONG,14.5816,121.053
 272,Betterliving 2,"Dona Soledad ave. cor. Peru, Paranaque City",8229299,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF PARAÑAQUE,14.4849,121.03
 274,Fields Ave.,"G/F HHH Commercial Bldg, Balibago,Angeles City",425000900,REGION III (Central Luzon),PAMPANGA,ANGELES CITY,15.1666,120.584
 275,FEU,"913-919 Nicanor Reyes cor., Sampaloc,Manila",7348015,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",SAMPALOC,14.6046,120.988
 276,Hansel,"Aurora Blvd. cor.Imperial, Cubao, Quezon City",4392679,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6231,121.053
 277,Session 3,128 Session Road Baguio City,744467449,CAR - Cordillera Administrative Region,BENGUET,BAGUIO CITY,16.4121,120.598
 278,Sagittarius,Sagittarius Bldg. Salcedo Village Makati,8176432,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF MAKATI,14.5606,121.026
 279,Marina,"A. Mabini St., Malate Manila",5238407,NCR - National Capital Region,"NCR, CITY OF MANILA, FIRST DISTRICT",MALATE,14.5736,120.983
 281,T. Morato,Scout Castor cor. T. Morato Ave.,3762207,NCR - National Capital Region,"NCR, SECOND DISTRICT",QUEZON CITY,14.6292,121.034
 282,Gatchilian,Palanyag St. Parañaque City,8269949,NCR - National Capital Region,"NCR, FOURTH DISTRICT",CITY OF PARAÑAQUE,14.4756,121
